epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.8876,0.92537,3.61575,0.98862,0.00429,0.65705,0.28417,0.20299,0.51739,3.75041,0.84205,0.000175,0.000175,0.000175
2,39.7051,0.87809,2.23038,0.97058,0.00577,0.83193,0.43466,0.34082,0.65715,3.5168,0.86586,0.000355322,0.000355322,0.000355322
3,58.7995,0.75432,1.71456,0.94076,0.00576,0.80882,0.49454,0.35784,0.65835,3.38126,0.91516,0.00052822,0.00052822,0.00052822
4,77.0738,0.72045,1.36466,0.94568,0.76859,0.65041,0.6722,0.60958,0.59368,3.16807,0.92756,0.000693692,0.000693692,0.000693692
5,96.3847,0.79563,1.28651,0.97261,1,0.23115,0.83125,0.72591,0.61777,2.82949,0.91982,0.00085174,0.00085174,0.00085174
6,115.706,0.77013,1.1494,0.9365,1,0.41955,0.94153,0.78923,0.59711,2.59109,0.89239,0.00100236,0.00100236,0.00100236
7,134.181,0.65897,1.09812,0.94228,0.98649,0.80117,0.93927,0.8044,0.58457,2.01409,0.89919,0.0011015,0.0011015,0.0011015
8,153.107,0.76186,1.13174,0.96863,0.88275,0.96748,0.97989,0.7995,0.62536,1.67206,0.94937,0.00107675,0.00107675,0.00107675
9,172.802,0.60654,0.97697,0.90369,0.94447,0.95925,0.9758,0.81009,0.61871,1.27907,0.91226,0.001052,0.001052,0.001052
10,191.102,0.66674,0.95311,0.89809,0.89163,0.88934,0.92187,0.76896,0.61596,1.24981,0.91538,0.00102725,0.00102725,0.00102725
11,209.607,0.65371,0.90871,0.90054,0.88582,0.87746,0.91004,0.76865,0.63047,1.25834,0.90622,0.0010025,0.0010025,0.0010025
12,229.188,0.62667,0.87359,0.93111,0.90215,0.89391,0.93814,0.8293,0.52835,1.10085,0.88434,0.00097775,0.00097775,0.00097775
13,249.149,0.58243,0.85079,0.91891,0.90251,0.87564,0.92667,0.78573,0.57497,1.0463,0.8848,0.000953,0.000953,0.000953
14,267.838,0.62221,0.85614,0.9255,0.91477,0.89391,0.93371,0.81798,0.50893,1.00561,0.87975,0.00092825,0.00092825,0.00092825
15,286.054,0.59201,0.80069,0.89664,0.89876,0.90966,0.96632,0.80119,0.58815,0.98934,0.87463,0.0009035,0.0009035,0.0009035
16,309.671,0.6061,0.80859,0.90178,0.93999,0.92652,0.9726,0.85523,0.51104,0.91759,0.86241,0.00087875,0.00087875,0.00087875
17,329.674,0.59922,0.79009,0.91348,0.9348,0.94718,0.97177,0.83868,0.51383,0.88038,0.86367,0.000854,0.000854,0.000854
18,349.156,0.54034,0.74076,0.87194,0.92448,0.92647,0.95466,0.86551,0.47807,0.88196,0.85521,0.00082925,0.00082925,0.00082925
19,368.498,0.57211,0.76263,0.8798,0.93181,0.9432,0.97202,0.88271,0.46949,0.81549,0.85427,0.0008045,0.0008045,0.0008045
20,387.672,0.54154,0.73475,0.88199,0.92321,0.95863,0.97667,0.87642,0.49647,0.81834,0.85803,0.00077975,0.00077975,0.00077975
21,406.817,0.58307,0.736,0.90384,0.93989,0.93976,0.97932,0.89675,0.44696,0.7685,0.85134,0.000755,0.000755,0.000755
